"state","fd","sd","td"
"UttarPradesh",98175781,32678549,130854330
"Maharashtra",67196330,30974759,98171089
"Gujarat",44735126,25971369,70706495
"Karnataka",42496209,22857316,65353525
"WestBengal",56183405,21558154,77741559
"MadhyaPradesh",49911829,20837112,70748941
"AndhraPradesh",32976723,20374772,53351495
"Rajasthan",42543054,20093989,62637043
"Bihar",49871471,18343468,68214939
"TamilNadu",41277027,17618141,58895168
"Kerala",25306499,13658337,38964836
"Odisha",25735276,11559572,37294848
"Telangana",22497488,9771881,32269369
"Haryana",17772039,8114801,25886840
"Assam",20172070,8068572,28240642
"Delhi",13055627,7425379,20481006
"Chhattisgarh",14850127,7341840,22191967
"Punjab",15942523,6238789,22181312
"Jharkhand",14983565,5582373,20565938
"JammuKashmir",9511010,5146748,14657758
"Uttarakhand",7477999,3898139,11376138
"HimachalPradesh",5713695,3443778,9157473
"Tripura",2508476,1620981,4129457
"Goa",1262558,911082,2173640
"Manipur",1249436,719410,1968846
"Meghalaya",1103273,641816,1745089
"Chandigarh",926035,546981,1473016
"ArunachalPradesh",771875,534486,1306361
"Mizoram",711595,512017,1223612
"Nagaland",709551,490651,1200202
"Sikkim",521763,451509,973272
"Puducherry",733957,404387,1138344
"DamanDiu",660753,370253,1031006
"AndamanNicobar",294001,200157,494158
"Ladakh",208798,152280,361078
"Lakshadweep",55129,45951,101080
